date,ticker,name,sector,close,volume
2022-01-03,AAPL,Apple,Technology,182.0,58242325
2022-01-03,AMD,AMD,Technology,144.0,55337364
2022-01-03,AMZN,Amazon,Cons. Discretionary,167.0,51437833
2022-01-03,AVGO,Broadcom,Technology,65.0,15274449
2022-01-03,CRM,Salesforce,Technology,254.0,4271426
2022-01-03,GOOGL,Alphabet,Communication Svcs.,145.0,26219364
2022-01-03,IBM,IBM,Technology,134.0,3617331
2022-01-03,INTC,Intel,Technology,51.0,37605784
2022-01-03,META,Meta Platforms,Communication Svcs.,339.0,21972099
2022-01-03,MSFT,Microsoft,Technology,334.0,16807305
2022-01-03,NFLX,Netflix,Communication Svcs.,597.0,3845126
2022-01-03,NVDA,NVIDIA,Technology,30.0,350363829
2022-01-03,ORCL,Oracle,Technology,88.0,9529008
2022-01-03,QCOM,Qualcomm,Technology,182.0,10364144
2022-01-03,TSLA,Tesla,Cons. Discretionary,400.0,83540355
2022-01-04,AAPL,Apple,Technology,183.58,52653182
2022-01-04,AMD,AMD,Technology,149.67,44199293
2022-01-04,AMZN,Amazon,Cons. Discretionary,165.7,54878609
2022-01-04,AVGO,Broadcom,Technology,63.8,20473244
2022-01-04,CRM,Salesforce,Technology,255.58,7084294
2022-01-04,GOOGL,Alphabet,Communication Svcs.,144.58,25603499
2022-01-04,IBM,IBM,Technology,134.42,6388496
2022-01-04,INTC,Intel,Technology,51.49,28590966
2022-01-04,META,Meta Platforms,Communication Svcs.,346.44,22824933
2022-01-04,MSFT,Microsoft,Technology,330.81,28138849
2022-01-04,NFLX,Netflix,Communication Svcs.,617.18,5822013
2022-01-04,NVDA,NVIDIA,Technology,28.58,449151037
2022-01-04,ORCL,Oracle,Technology,88.35,6565752
2022-01-04,QCOM,Qualcomm,Technology,187.79,6881634
2022-01-04,TSLA,Tesla,Cons. Discretionary,390.0,82852426
2022-01-05,AAPL,Apple,Technology,184.71,38099641
2022-01-05,AMD,AMD,Technology,150.62,58805794
2022-01-05,AMZN,Amazon,Cons. Discretionary,159.87,69967008
